Month,reference,target,missing,target_filled,Year,Abs_Diff,Rel_Diff
1953-09-01,237,237.0,,237.0,1953,-13.5,-5.389221556886225
1953-10-01,211,211.0,,211.0,1953,-26.0,-10.970464135021096
1953-11-01,180,180.0,,180.0,1953,-31.0,-14.691943127962082
1953-12-01,201,201.0,,201.0,1953,21.0,11.66666666666667
1954-01-01,204,204.0,,204.0,1954,3.0,1.4925373134328401
1954-02-01,188,188.0,,188.0,1954,-16.0,-7.843137254901967
1954-03-01,235,235.0,,235.0,1954,47.0,25.0
1954-04-01,227,,227.0,234.5,1954,-0.5,-0.21276595744680327
1954-05-01,234,234.0,,234.0,1954,-0.5,-0.2132196162046962
1954-06-01,264,,264.0,268.0,1954,34.0,14.529914529914523
1954-07-01,302,302.0,,302.0,1954,34.0,12.686567164179108
1954-08-01,293,293.0,,293.0,1954,-9.0,-2.98013245033113
1954-09-01,259,259.0,,259.0,1954,-34.0,-11.604095563139927
1954-10-01,229,229.0,,229.0,1954,-30.0,-11.583011583011583
1954-11-01,203,203.0,,203.0,1954,-26.0,-11.353711790393017
1954-12-01,229,229.0,,229.0,1954,26.0,12.807881773399021
1955-01-01,242,242.0,,242.0,1955,13.0,5.676855895196509
1955-02-01,233,233.0,,233.0,1955,-9.0,-3.7190082644628086
1955-03-01,267,267.0,,267.0,1955,34.0,14.592274678111593
1955-04-01,269,269.0,,269.0,1955,2.0,0.7490636704119868
1955-05-01,270,270.0,,270.0,1955,1.0,0.3717472118959009
1955-06-01,315,315.0,,315.0,1955,45.0,16.666666666666675
1955-07-01,364,364.0,,364.0,1955,49.0,15.555555555555545
1955-08-01,347,347.0,,347.0,1955,-17.0,-4.670329670329664
1955-09-01,312,312.0,,312.0,1955,-35.0,-10.086455331412104
1955-10-01,274,274.0,,274.0,1955,-38.0,-12.17948717948718
1955-11-01,237,237.0,,237.0,1955,-37.0,-13.503649635036496
1955-12-01,278,278.0,,278.0,1955,41.0,17.29957805907174
1956-01-01,284,284.0,,284.0,1956,6.0,2.158273381294973
1956-02-01,277,277.0,,277.0,1956,-7.0,-2.464788732394363
1956-03-01,317,317.0,,317.0,1956,40.0,14.440433212996396
1956-04-01,313,313.0,,313.0,1956,-4.0,-1.2618296529968487
1956-05-01,318,318.0,,318.0,1956,5.0,1.5974440894568787
1956-06-01,374,374.0,,374.0,1956,56.0,17.610062893081757
1956-07-01,413,413.0,,413.0,1956,39.0,10.427807486631014
1956-08-01,405,,405.0,384.0,1956,-29.0,-7.021791767554475
1956-09-01,355,355.0,,355.0,1956,-29.0,-7.5520833333333375
1956-10-01,306,306.0,,306.0,1956,-49.0,-13.802816901408455
1956-11-01,271,271.0,,271.0,1956,-35.0,-11.43790849673203
1956-12-01,306,,306.0,293.0,1956,22.0,8.11808118081181
1957-01-01,315,315.0,,315.0,1957,22.0,7.508532423208192
1957-02-01,301,,301.0,326.0,1957,11.0,3.492063492063502
1957-03-01,356,,356.0,337.0,1957,11.0,3.3742331288343586
1957-04-01,348,348.0,,348.0,1957,11.0,3.264094955489605
1957-05-01,355,355.0,,355.0,1957,7.0,2.011494252873569
1957-06-01,422,422.0,,422.0,1957,67.0,18.873239436619716
1957-07-01,465,,465.0,444.5,1957,22.5,5.331753554502372
1957-08-01,467,467.0,,467.0,1957,22.5,5.06186726659168
1957-09-01,404,404.0,,404.0,1957,-63.0,-13.490364025695934
1957-10-01,347,347.0,,347.0,1957,-57.0,-14.10891089108911
1957-11-01,305,305.0,,305.0,1957,-42.0,-12.103746397694525
1957-12-01,336,336.0,,336.0,1957,31.0,10.163934426229515
1958-01-01,340,340.0,,340.0,1958,4.0,1.1904761904761862
1958-02-01,318,318.0,,318.0,1958,-22.0,-6.470588235294117
1958-03-01,362,362.0,,362.0,1958,44.0,13.83647798742138
1958-04-01,348,,348.0,362.5,1958,0.5,0.13812154696133394
1958-05-01,363,363.0,,363.0,1958,0.5,0.13793103448276334
1958-06-01,435,435.0,,435.0,1958,72.0,19.834710743801654
1958-07-01,491,491.0,,491.0,1958,56.0,12.873563218390816
1958-08-01,505,505.0,,505.0,1958,14.0,2.851323828920571
1958-09-01,404,404.0,,404.0,1958,-101.0,-19.999999999999996
1958-10-01,359,,359.0,357.0,1958,-47.0,-11.633663366336632
1958-11-01,310,310.0,,310.0,1958,-47.0,-13.165266106442575
1958-12-01,337,,337.0,320.6666666666667,1958,10.666666666666686,3.440860215053765
1959-01-01,360,,360.0,331.3333333333333,1959,10.666666666666629,3.3264033264033044
1959-02-01,342,342.0,,342.0,1959,10.666666666666686,3.2193158953722323
1959-03-01,406,406.0,,406.0,1959,64.0,18.71345029239766
1959-04-01,396,396.0,,396.0,1959,-10.0,-2.463054187192115
1959-05-01,420,420.0,,420.0,1959,24.0,6.060606060606055
1959-06-01,472,472.0,,472.0,1959,52.0,12.380952380952381
1959-07-01,548,548.0,,548.0,1959,76.0,16.10169491525424
1959-08-01,559,559.0,,559.0,1959,11.0,2.007299270072993
1959-09-01,463,463.0,,463.0,1959,-96.0,-17.17352415026834
1959-10-01,407,407.0,,407.0,1959,-56.0,-12.095032397408211
1959-11-01,362,362.0,,362.0,1959,-45.0,-11.056511056511054
1959-12-01,405,,405.0,371.6666666666667,1959,9.666666666666686,2.6703499079189674
1960-01-01,417,,417.0,381.3333333333333,1960,9.666666666666629,2.6008968609865457
1960-02-01,391,391.0,,391.0,1960,9.666666666666686,2.534965034965042
1960-03-01,419,419.0,,419.0,1960,28.0,7.161125319693085
1960-04-01,461,,461.0,445.5,1960,26.5,6.3245823389021405
1960-05-01,472,472.0,,472.0,1960,26.5,5.948372615039288
1960-06-01,535,535.0,,535.0,1960,63.0,13.347457627118642
1960-07-01,622,,622.0,570.5,1960,35.5,6.6355140186915795
1960-08-01,606,606.0,,606.0,1960,35.5,6.222611744084139
1960-09-01,508,508.0,,508.0,1960,-98.0,-16.171617161716167
1960-10-01,461,461.0,,461.0,1960,-47.0,-9.251968503937002
1960-11-01,390,390.0,,390.0,1960,-71.0,-15.401301518438181
1960-12-01,432,432.0,,432.0,1960,42.0,10.769230769230775
